Date,Open,High,Low,Close,Volume
2020-01-01,604.345388393747,606.1923924015477,601.7406554576465,605.5293579101562,3673698
2020-01-02,605.7188543538712,609.9811449630853,605.7188543538712,609.38916015625,6137166
2020-01-03,607.2342686142049,608.5603376104458,598.4255468849254,600.6987915039062,10855550
2020-01-06,596.720662743602,597.5731439576414,585.3545548818191,587.6987915039062,10890186
2020-01-07,596.1997455707353,602.143238298382,593.0503748607391,597.0048217773438,14724494
2020-01-08,590.5402151248385,597.7387835308269,587.2725059352362,595.44189453125,11332110
2020-01-09,599.0886549789353,604.2034270944675,598.1888264645892,602.11962890625,9546316
2020-01-10,608.1340427397233,609.4601116176075,603.871752817819,607.4710083007812,9214580
2020-01-13,607.4710117404351,614.0065461154303,604.2979967938983,609.0338745117188,7451568
2020-01-14,610.4546733854722,612.1359331976332,605.0084136927392,610.6914672851562,7886290
2020-01-15,609.2234256414325,609.9574521269482,603.3982719253166,608.2052001953125,11787448
2020-01-16,607.16334918936,611.4019374828233,605.8846272593686,609.8154296875,7150400
2020-01-17,607.0211275637845,608.512940609759,602.3562995656167,605.3162231445312,16918814
2020-01-20,617.9611105177366,617.9611105177366,593.1687974902289,594.305419921875,22178450
2020-01-21,591.9848038717975,591.9848038717975,586.4911964540704,589.3090209960938,14984804
2020-01-22,591.0612337852921,594.3526456307169,584.5967492247966,587.6513671875,18368310
2020-01-23,587.248887040562,590.4929519914465,582.9865967313965,589.5457763671875,11508920
2020-01-24,590.0904267767455,593.8791293563715,586.8226592396154,589.4037475585938,11831756
2020-01-27,584.8809389292223,584.8809389292223,573.8700224675994,574.5567016601562,18888552
2020-01-28,577.2088623646235,581.4711527758164,574.5804268199824,579.2926025390625,13412158
2020-01-29,580.2871913795456,588.1960850182678,578.8427253732511,585.2835083007812,13788350
2020-01-30,586.7516319136959,586.7516319136959,576.4510963819321,580.6423950195312,12111984
2020-01-31,583.1997343998446,586.2070634943107,577.8955736075096,580.7608032226562,11178268
2020-02-03,566.8845532961541,567.3344385473835,557.7442863299673,564.8955078125,13077010
2020-02-04,567.3581594243379,584.4073194738172,567.3581594243379,582.4182739257812,20897704
2020-02-05,584.8336294451086,591.0376185260882,581.2343734585951,589.4511108398438,18020682
