Date,Close,High,Low,Open,Volume
2020-01-01,3942.765625,3949.5065914393354,3923.3670241389914,3937.915974784748,163949
2020-01-02,4117.158203125,4128.3123968477885,3945.820182963801,3947.5175602694426,1458328
2020-01-03,4092.3291015625,4129.962198478357,4059.981839318283,4109.59366720357,635983
2020-01-06,4032.09619140625,4073.4636121477033,4006.7809230983185,4064.976724450509,462841
2020-01-07,4114.53955078125,4126.081621386997,4038.836241105126,4073.2687511096487,524372
2020-01-08,4189.0791015625,4201.736497833291,4057.99269136271,4097.808599537582,1032268
2020-01-09,4256.052734375,4267.691894086144,4201.348778452348,4206.586305602638,698429
2020-01-10,4310.951171875,4329.8160270873295,4235.587417953928,4256.150124343327,735887
2020-01-13,4334.32666015625,4356.925841175241,4316.237085609929,4323.511561079389,403937
2020-01-14,4348.48779296875,4367.547299912841,4289.7104028530275,4330.738260088057,438651
2020-01-15,4370.9892578125,4389.175444117612,4277.391018962194,4317.206453406743,416924
2020-01-16,4337.8662109375,4417.933737104795,4299.941856009139,4384.083277316035,467980
2020-01-17,4351.8330078125,4386.410914258106,4278.651606930606,4306.488784685463,360682
2020-01-20,4333.3076171875,4373.85097485461,4318.128307591456,4364.684947026404,204026
2020-01-21,4348.7294921875,4384.083630371878,4306.489229834323,4321.038179935114,283173
2020-01-22,4342.328125,4403.482019554589,4328.797412615007,4369.534470945688,359444
2020-01-23,4390.29052734375,4403.4816684712205,4312.356566531158,4335.586576666598,401079
2020-01-24,4503.14208984375,4538.981189459208,4318.758319225201,4417.060810327594,2127667
2020-01-27,4536.31396484375,4611.143964046873,4483.016125876635,4485.8288279472745,1058884
2020-01-28,4470.455078125,4573.99509175308,4446.643489254644,4529.572493144114,711517
2020-01-29,4430.83447265625,4513.569313285178,4422.3958921078265,4485.9263079282155,595287
2020-01-30,4351.10595703125,4450.52378150644,4329.912891923398,4431.610146606282,422335
2020-01-31,4283.3076171875,4371.764941789255,4272.541300348855,4366.915292186135,451630
2020-02-03,4239.22509765625,4254.938155460046,4108.7694930266025,4136.752072456866,537373
2020-02-04,4339.70849609375,4363.568864379734,4247.370987812487,4262.793250825623,387466
2020-02-05,4337.3330078125,4392.425318807401,4265.364482267303,4342.37683351157,521783
2020-02-06,4330.64013671875,4383.161748763434,4308.428835595353,4345.286173675638,385744
2020-02-07,4337.3330078125,4410.271937006278,4315.849151926405,4341.794780761884,547874
2020-02-10,4281.0283203125,4357.507391652248,4258.719931444261,4352.075689208085,271700
2020-02-11,4332.14404296875,4383.5986400890315,4299.699694991631,4313.9578554476375,296451
2020-02-12,4319.826171875,4357.605138613272,4306.441325968556,4357.605138613272,323821
2020-02-13,4316.67333984375,4338.642158987067,4282.2408258420755,4306.440768079883,186493
2020-02-14,4301.0087890625,4402.46355231949,4260.950399639586,4334.6167657081405,665316
2020-02-17,4316.04296875,4330.73731306565,4268.758882745084,4310.271695993029,354909
2020-02-18,4341.1162109375,4353.240336832606,4238.691500655912,4300.28206020305,510062
2020-02-19,4338.59423828125,4393.783163875986,4321.038409507179,4358.865681778959,384898
2020-02-20,4294.947265625,4372.444580393613,4287.09073765301,4316.188638587307,414088
2020-02-24,4262.84228515625,4321.038084271011,4190.097536262799,4282.24088486117,383261
2020-02-25,4213.37548828125,4267.691562715815,4200.523917098071,4265.266737964272,402233
2020-02-26,4210.95068359375,4290.872813065701,4157.167880908831,4190.339673107428,642946
2020-02-27,4191.69775390625,4233.792619822017,4146.790185801384,4202.269895843827,369157
2020-02-28,4092.71630859375,4174.72369235629,4073.705587797644,4141.600680927605,524557
2020-03-02,4017.158935546875,4186.508320550068,3955.907719073525,4127.051805946145,378937
2020-03-03,4170.6015625,4198.8266178525455,4032.5319438599045,4054.209972261537,606056
2020-03-04,4047.323486328125,4194.947013442947,3993.201584819564,4180.446371321199,750952
2020-03-05,4079.088623046875,4102.8035992479245,4026.761187541867,4056.2952697177197,450539
2020-03-06,4042.522216796875,4067.2066473004224,3889.4186953775747,3969.534995642969,585749
2020-03-09,3974.142578125,4039.321586651311,3874.8701529535156,3947.61489925427,588288
2020-03-11,3873.318115234375,3988.2065056977713,3843.541313531885,3947.6148431194392,775964
2020-03-12,3553.33837890625,3773.027513019056,3503.871951357671,3773.027513019056,992092
2020-03-13,3674.9677734375,3890.874291512767,3020.362094919795,3365.948209851889,1378933
2020-03-16,3412.26220703125,3549.943720071426,3302.61157564022,3540.24442028981,975878
2020-03-17,3366.093505859375,3467.499734258893,3350.8171084287237,3414.153584501064,563672
2020-03-18,3204.212158203125,3431.515101645516,3172.1559257504487,3431.515101645516,790520
2020-03-19,3070.84716796875,3287.820478856607,2866.7254306024947,3044.6105120232733,790106
2020-03-20,3466.38427734375,3546.8399200516483,3045.9196402807743,3089.2269182135587,825459
2020-03-23,2962.99072265625,3191.4575422059306,2946.4533689781333,3123.174565676092,883620
2020-03-24,2927.345703125,3139.8572150004197,2878.218608636375,3006.7828720242405,1105225
2020-03-25,3131.51611328125,3191.069720952552,2822.4963185325005,2878.946197543287,874543
2020-03-26,3132.049072265625,3283.212743367569,3058.7710570488066,3132.873607408345,931742
2020-03-27,3049.072265625,3288.0629403769094,3009.110957264138,3288.0629403769094,471310
2020-03-30,2993.106689453125,3055.2792929597404,2977.6848982179054,3022.3016751944606,507697
2020-03-31,3147.27734375,3180.448901215272,3006.7828935062817,3045.580092132169,637365
2020-04-01,3046.210205078125,3161.9228879643492,3011.8747817958847,3147.4224835126465,390613
2020-04-03,2950.139404296875,3095.0468624607634,2934.03847036785,3093.1070023150655,406172
2020-04-07,3180.88525390625,3245.14311274793,2987.6267124088204,3089.1783302674335,646709
2020-04-08,3158.528564453125,3283.0677210291137,3101.1087546620033,3143.543193012605,647497
2020-04-09,3264.8330078125,3287.8688459048485,3160.5169862702314,3201.739012330224,501495
2020-04-13,3361.87451171875,3522.058358595453,3191.651794490935,3246.452840208152,1107263
2020-04-15,3491.89306640625,3563.5224848900198,3425.307472887617,3452.9504752880976,1239945
2020-04-16,3432.67919921875,3458.4791939478678,3370.6519891433495,3443.251341010864,617278
2020-04-17,3427.781005859375,3554.2112334520975,3405.278678256463,3544.1240566367833,775287
2020-04-20,3410.807373046875,3462.6500839466617,3385.1042281660384,3462.6500839466617,391192
2020-04-21,3300.9140625,3365.656885881143,3274.532015538256,3364.6869559428487,533462
2020-04-22,3337.67431640625,3353.6781604071157,3274.483475571038,3318.1303228461256,944451
2020-04-23,3338.693115234375,3365.657217535882,3303.581695368073,3331.709666350361,977203
2020-04-24,3208.47998046875,3336.559287694927,3193.7856353022644,3307.4613869301456,624104
2020-04-27,3259.594970703125,3268.6639103967955,3216.627263634977,3235.686292309706,444246
2020-04-28,3291.9423828125,3327.829792407097,3264.2993781247696,3309.401122615277,767800
2020-04-29,3331.0791015625,3349.9441922005394,3259.0618009792524,3259.0618009792524,393804
2020-04-30,3428.023681640625,3458.72187173684,3342.524209181086,3365.6571346388937,854097
2020-05-04,3246.937744140625,3357.606614427784,3226.035705400364,3327.829810958031,519181
2020-05-05,3185.58984375,3292.9125087027155,3175.550973046448,3292.9125087027155,387071
2020-05-06,3224.435302734375,3287.577842519158,3149.508207783909,3200.7691046801065,374625
2020-05-07,3155.03662109375,3276.423255327322,3133.843557715387,3223.998496022394,473677
2020-05-08,3206.394287109375,3225.0168936920395,3172.689223333195,3194.9490670140085,421623
2020-05-11,3259.6923828125,3346.258638905936,3229.964121798182,3254.1152850809904,483864
2020-05-12,3248.634765625,3303.0962341254112,3177.0538925190094,3243.445546003634,557262
2020-05-13,3440.050537109375,3472.3492520934574,3346.2583574643654,3346.2583574643654,1225497
2020-05-14,3500.962158203125,3524.531503372748,3386.0254590073723,3406.3939879787713,974733
2020-05-15,3475.404296875,3519.8756784106818,3441.1659601507845,3519.8756784106818,645207
2020-05-18,3208.334716796875,3480.9336089615276,3182.4376314177707,3476.617230732233,817697
2020-05-19,3334.7646484375,3387.9654022797677,3234.958948741367,3268.664015368685,1012170
2020-05-20,3422.398193359375,3491.6027973879322,3331.7097333681318,3346.210140306331,1042217
